"","species","sdm_max_value","inat_n_obs"
"141","Grus canadensis",0.750392258167267,0
"142","Haematopus bachmani",0.99167412519455,13
"143","Haliaeetus leucocephalus",0.976999998092651,40
"144","Himantopus mexicanus",0.778232574462891,0
"145","Hirundo rustica",0.958999991416931,5
"146","Histrionicus histrionicus",0.981829941272736,4
"147","Hydroprogne caspia",0.988474667072296,0
"148","Icteria virens",NA,0
"149","Icterus bullockii",0.757929563522339,0
"150","Icterus galbula",0.710072815418243,0
"151","Ixoreus naevius",0.973954081535339,25
"152","Junco hyemalis",0.965332090854645,31
"153","Junco oregonus",0.671952188014984,9753
"154","Lagopus lagopus",0.143788665533066,0
"155","Lagopus leucura",0.440188884735107,0
"156","Lagopus muta",0.411671817302704,0
"157","Lanius excubitor",0.944831907749176,0
"158","Larus argentatus",0.979273080825806,0
"159","Larus californicus",0.974129140377045,1
"160","Larus canus",0.989169538021088,0
"161","Larus delawarensis",0.975586652755737,4
"162","Larus glaucescens",0.992454469203949,24
"163","Larus hyperboreus",0.98199999332428,0
"164","Larus occidentalis",0.848313987255096,1
"165","Larus thayeri",0.986000001430511,0
"166","Lemmus sibiricus",NA,0
"167","Lepus americanus",0.756226062774658,0
"168","Leucophaeus pipixcan",0.915409684181213,0
"169","Leucosticte tephrocotis",0.930850267410278,0
"170","Limnodromus griseus",0.972864627838135,0
"171","Limnodromus scolopaceus",0.962592422962189,0
"172","Limosa haemastica",0.717210829257965,0
"173","Lophodytes cucullatus",0.98078590631485,20
"174","Loxia curvirostra",0.964999973773956,3
"175","Loxia leucoptera",0.774999976158142,0
"176","Martes americana",0.677999973297119,0
"177","Megaceryle alcyon",0.980617821216583,8
"178","Megascops kennicottii",0.974827647209167,0
"179","Melanerpes lewis",0.806265950202942,0
"180","Melanitta fusca",0.979795396327972,0
"181","Melanitta nigra",0.945422470569611,0
"182","Melanitta perspicillata",0.986482858657837,11
"183","Melospiza georgiana",0.939409077167511,1
"184","Melospiza lincolnii",0.92952698469162,2
"185","Melospiza melodia",0.972461402416229,23
"186","Mergus merganser",0.462999999523163,38
"187","Mergus serrator",0.985425591468811,4
"188","Microtus longicaudus",0.4852554500103,0
"189","Microtus pennsylvanicus",0.299802154302597,0
"190","Microtus townsendii",0.968206822872162,0
"191","Mniotilta varia",0.912607073783875,0
