"","species","filepath","filename","sdm_max_value","taxon_group","n_obs_inat","n_obs_ebird","include"
"29","Anthus rubescens","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Anthus.rubescens_NAs_pu_mask.tif","Anthus.rubescens_NAs_pu_mask.tif",0.96026873588562,"Bird",1,4,"y"
"30","Aquila chrysaetos","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aquila.chrysaetos_NAs_pu_mask.tif","Aquila.chrysaetos_NAs_pu_mask.tif",0.883305311203003,"Bird",0,0,NA
"31","Archilochus alexandri","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Archilochus.alexandri_NAs_pu_mask.tif","Archilochus.alexandri_NAs_pu_mask.tif",0.119128167629242,"Bird",0,0,NA
"32","Ardea herodias","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Ardea.herodias_NAs_pu_mask.tif","Ardea.herodias_NAs_pu_mask.tif",0.981899678707123,"Bird",28,830,"y"
"33","Arenaria melanocephala","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Arenaria.melanocephala_NAs_pu_mask.tif","Arenaria.melanocephala_NAs_pu_mask.tif",0.992416262626648,"Bird",7,152,"y"
"34","Ascaphus truei","RawData/2024_11_28_SDM_Bowen_Island//Amphibian_mask/Ascaphus.truei_NAs_pu_mask.tif","Ascaphus.truei_NAs_pu_mask.tif",0.917166292667389,"Amphibian",0,NA,NA
"35","Asio flammeus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Asio.flammeus_NAs_pu_mask.tif","Asio.flammeus_NAs_pu_mask.tif",0.975525975227356,"Bird",0,0,NA
"36","Asio otus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Asio.otus_NAs_pu_mask.tif","Asio.otus_NAs_pu_mask.tif",0.972437083721161,"Bird",0,0,NA
"37","Aythya affinis","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aythya.affinis_NAs_pu_mask.tif","Aythya.affinis_NAs_pu_mask.tif",0.969754815101624,"Bird",3,91,"y"
"38","Aythya americana","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aythya.americana_NAs_pu_mask.tif","Aythya.americana_NAs_pu_mask.tif",0.771110773086548,"Bird",1,6,"y"
"39","Aythya collaris","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aythya.collaris_NAs_pu_mask.tif","Aythya.collaris_NAs_pu_mask.tif",0.972988963127136,"Bird",8,272,"y"
"40","Aythya marila","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aythya.marila_NAs_pu_mask.tif","Aythya.marila_NAs_pu_mask.tif",0.977794885635376,"Bird",1,19,"y"
"41","Aythya valisineria","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aythya.valisineria_NAs_pu_mask.tif","Aythya.valisineria_NAs_pu_mask.tif",0.92415052652359,"Bird",0,0,NA
"42","Bombycilla cedrorum","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Bombycilla.cedrorum_NAs_pu_mask.tif","Bombycilla.cedrorum_NAs_pu_mask.tif",0.951836168766022,"Bird",8,209,"y"
"43","Bombycilla garrulus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Bombycilla.garrulus_NAs_pu_mask.tif","Bombycilla.garrulus_NAs_pu_mask.tif",0.689250826835632,"Bird",0,0,NA
"44","Bonasa umbellus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Bonasa.umbellus_NAs_pu_mask.tif","Bonasa.umbellus_NAs_pu_mask.tif",0.85699999332428,"Bird",0,0,NA
"45","Botaurus lentiginosus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Botaurus.lentiginosus_NAs_pu_mask.tif","Botaurus.lentiginosus_NAs_pu_mask.tif",0.921431422233582,"Bird",0,0,NA
"46","Brachyramphus marmoratus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Brachyramphus.marmoratus_NAs_pu_mask.tif","Brachyramphus.marmoratus_NAs_pu_mask.tif",0.98199999332428,"Bird",7,473,"y"
"47","Branta bernicla","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Branta.bernicla_NAs_pu_mask.tif","Branta.bernicla_NAs_pu_mask.tif",0.965809404850006,"Bird",0,1,"y"
"48","Branta canadensis","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Branta.canadensis_NAs_pu_mask.tif","Branta.canadensis_NAs_pu_mask.tif",0.979132294654846,"Bird",41,1112,"y"
"49","Branta hutchinsii","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Branta.hutchinsii_NAs_pu_mask.tif","Branta.hutchinsii_NAs_pu_mask.tif",0.976416289806366,"Bird",0,8,"y"
"50","Bubo scandiacus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Bubo.scandiacus_NAs_pu_mask.tif","Bubo.scandiacus_NAs_pu_mask.tif",0.97840142250061,"Bird",0,0,NA
"51","Bubo virginianus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Bubo.virginianus_NAs_pu_mask.tif","Bubo.virginianus_NAs_pu_mask.tif",0.954875230789185,"Bird",0,6,"y"
"52","Bucephala albeola","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Bucephala.albeola_NAs_pu_mask.tif","Bucephala.albeola_NAs_pu_mask.tif",0.979429125785828,"Bird",15,827,"y"
"53","Bucephala clangula","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Bucephala.clangula_NAs_pu_mask.tif","Bucephala.clangula_NAs_pu_mask.tif",0.977109968662262,"Bird",9,456,"y"
"54","Bucephala islandica","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Bucephala.islandica_NAs_pu_mask.tif","Bucephala.islandica_NAs_pu_mask.tif",0.970633506774902,"Bird",30,593,"y"
"55","Buteo jamaicensis","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Buteo.jamaicensis_NAs_pu_mask.tif","Buteo.jamaicensis_NAs_pu_mask.tif",0.965608716011047,"Bird",5,111,"y"
"56","Buteo lagopus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Buteo.lagopus_NAs_pu_mask.tif","Buteo.lagopus_NAs_pu_mask.tif",0.956458330154419,"Bird",0,0,NA
"57","Buteo platypterus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Buteo.platypterus_NAs_pu_mask.tif","Buteo.platypterus_NAs_pu_mask.tif",0.489721715450287,"Bird",0,0,NA
"58","Buteo swainsoni","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Buteo.swainsoni_NAs_pu_mask.tif","Buteo.swainsoni_NAs_pu_mask.tif",0.286430418491364,"Bird",0,0,NA
"59","Butorides virescens","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Butorides.virescens_NAs_pu_mask.tif","Butorides.virescens_NAs_pu_mask.tif",0.730700254440308,"Bird",0,0,NA
"60","Calcarius lapponicus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calcarius.lapponicus_NAs_pu_mask.tif","Calcarius.lapponicus_NAs_pu_mask.tif",0.950846374034882,"Bird",0,0,NA
