"","scientific_name","lowT","medT","highT","n_inat","n_ebird","lowT_cs","medT_cs","highT_cs"
"166","Loxia curvirostra",1,1,1,2,218,"both","both","both"
"168","Megaceryle alcyon",1,1,1,5,761,"both","both","both"
"171","Melanitta fusca",1,1,1,0,58,"both","both","both"
"172","Melanitta nigra",1,1,1,1,28,"both","both","both"
"173","Melanitta perspicillata",1,1,1,5,711,"both","both","both"
"174","Melospiza georgiana",1,1,1,1,3,"both","both","both"
"175","Melospiza lincolnii",1,1,1,2,31,"both","both","both"
"176","Melospiza melodia",1,1,1,17,1509,"both","both","both"
"178","Mergus serrator",1,1,1,3,174,"both","both","both"
"180","Molothrus ater",1,1,1,9,120,"both","both","both"
"181","Myadestes townsendi",1,1,1,1,14,"both","both","both"
"186","Oreothlypis celata",1,1,1,6,176,"both","both","both"
"188","Oreothlypis ruficapilla",1,1,0,0,7,"both","both","cs_only"
"190","Oxyura jamaicensis",1,1,1,1,8,"both","both","both"
"191","Pandion haliaetus",1,1,1,1,8,"both","both","both"
"193","Passerculus sandwichensis",1,1,1,3,40,"both","both","both"
"194","Passerella iliaca",1,1,1,4,183,"both","both","both"
"196","Patagioenas fasciata",1,1,1,3,138,"both","both","both"
"201","Petrochelidon pyrrhonota",1,1,1,0,5,"both","both","both"
"202","Phalacrocorax auritus",1,1,1,2,979,"both","both","both"
"203","Phalacrocorax pelagicus",1,1,1,3,898,"both","both","both"
"204","Phalacrocorax penicillatus",1,1,1,0,153,"both","both","both"
"206","Phalaropus lobatus",1,1,1,0,2,"both","both","both"
"209","Pheucticus melanocephalus",1,1,1,7,236,"both","both","both"
"213","Picoides pubescens",1,1,1,1,217,"both","both","both"
"214","Picoides villosus",1,1,1,10,217,"both","both","both"
"216","Pipilo maculatus",1,1,1,14,1894,"both","both","both"
"217","Piranga ludoviciana",1,1,1,2,252,"both","both","both"
"221","Podiceps auritus",1,1,1,2,504,"both","both","both"
"222","Podiceps grisegena",1,1,1,1,442,"both","both","both"
"223","Podiceps nigricollis",1,1,1,0,3,"both","both","both"
"224","Podilymbus podiceps",1,1,1,8,652,"both","both","both"
"227","Poecile rufescens",1,1,1,8,1304,"both","both","both"
"229","Porzana carolina",1,1,0,1,1,"both","both","cs_only"
"230","Progne subis",1,1,0,0,18,"both","both","cs_only"
"231","Psaltriparus minimus",1,1,1,0,37,"both","both","both"
"233","Rallus limicola",1,1,1,2,102,"both","both","both"
"235","Regulus calendula",1,1,1,3,381,"both","both","both"
"236","Regulus satrapa",1,1,1,11,951,"both","both","both"
"244","Selasphorus rufus",1,1,1,15,393,"both","both","both"
"246","Setophaga coronata",1,1,1,22,463,"both","both","both"
"248","Setophaga nigrescens",1,1,1,3,341,"both","both","both"
"251","Sialia currucoides",1,1,0,0,1,"both","both","cs_only"
"253","Sitta canadensis",1,1,1,4,1064,"both","both","both"
"257","Sphyrapicus ruber",1,1,1,24,318,"both","both","both"
"259","Spinus pinus",1,1,0,15,608,"both","both","cs_only"
"260","Spinus tristis",1,1,1,2,193,"both","both","both"
"264","Spizella passerina",1,1,1,1,5,"both","both","both"
"265","Stelgidopteryx serripennis",1,1,1,1,89,"both","both","both"
"266","Stercorarius parasiticus",1,1,1,0,4,"both","both","both"
"271","Strix varia",1,1,1,35,264,"both","both","both"
"274","Synthliboramphus antiquus",1,1,1,0,8,"both","both","both"
"275","Tachycineta bicolor",1,1,1,20,474,"both","both","both"
"276","Thryomanes bewickii",1,1,0,0,18,"both","both","cs_only"
"278","Tringa incana",1,1,1,0,1,"both","both","both"
"279","Tringa melanoleuca",1,1,1,0,8,"both","both","both"
"280","Tringa solitaria",1,1,1,0,1,"both","both","both"
"281","Troglodytes aedon",1,1,0,2,52,"both","both","cs_only"
"283","Troglodytes pacificus",1,1,1,13,1290,"both","both","both"
"284","Turdus migratorius",1,1,1,27,1481,"both","both","both"
"286","Vireo cassinii",1,1,1,0,51,"both","both","both"
"287","Vireo gilvus",1,1,1,2,364,"both","both","both"
"288","Vireo huttoni",1,1,1,1,113,"both","both","both"
"289","Vireo olivaceus",1,1,1,0,10,"both","both","both"
"292","Zenaida macroura",1,1,1,0,3,"both","both","both"
"293","Zonotrichia albicollis",1,1,1,1,11,"both","both","both"
"294","Zonotrichia atricapilla",1,1,1,3,153,"both","both","both"
"295","Zonotrichia leucophrys",1,1,1,11,421,"both","both","both"
